Code,Occupation,Category,Description,Examples,SOC code,Added in final rule
101,Bartenders,Beverage and Food Service,"Mix and serve drinks or other refreshments to patrons, directly or through waitstaff","Barkeep, mixologist, taproom attendant, sommelier",35-3011,no
102,Wait Staff,Beverage and Food Service,Take orders and serve food and beverages to patrons at tables in dining establishments or at catered events,"Cocktail waitress, dining car server, banquet staff",35-3031,no
103,"Food or Beverage Servers, Non-restaurant",Beverage and Food Service,"Serve food or beverages to individuals outside of a restaurant environment, such as in hotel rooms, residential care facilities, or cars","Room service food server, boat hop, beer cart server",35-3041,no
104,Dining Room and Cafeteria Attendants and Bartender Helpers,Beverage and Food Service,"Facilitate food service. Clean tables; remove dirty dishes; replace soiled table linens; set tables; replenish supply of clean linens, silverware, glassware, and dishes; supply service bar with food; and serve items such as water, condiments, and coffee to patrons","Bar back, bar helper, busser",35-9011,no
105,Chefs and Cooks,Beverage and Food Service,"Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods","Executive chef, pastry chef, sous chef, fast food cook, private chef, restaurant cook, saucier, food truck cook, banquet cook, caterer, chocolatier, confectioner","35-1011, 35-2011, 35-2013, 35-2014, 35-2019",no
106,Food Preparation Workers,Beverage and Food Service,"Perform a variety of food preparation duties other than cooking, such as preparing cold foods and shellfish, slicing meat, and brewing coffee or tea","Salad maker, sandwich maker, fruit and vegetable parer, kitchen steward","35-1012, 35-2021, 35-9099",no
107,Fast Food and Counter Workers,Beverage and Food Service,Serve customers at counter or from a steam table. Perform duties such as taking orders and serving food and beverages. May take payment. May prepare food and beverages,"Barista, ice cream server, cafeteria server",35-3023,no
108,Dishwashers,Beverage and Food Service,"Clean dishes, kitchen, food preparation equipment, or utensils","Dish room worker, silverware cleaner",35-9021,no
109,"Host Staff, Restaurant, Lounge, and Coffee Shop",Beverage and Food Service,"Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service","Maître d'hôtel, dining room host",35-9031,no
110,Bakers,Beverage and Food Service,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods","Bread baker, cake baker, bagel baker, pastry finisher",51-3011,no
201,Gambling Dealers,Entertainment and Events,Operate gambling games. Stand or sit behind table and operate games of chance by dispensing the appropriate number of cards or blocks to players or operating other gambling equipment. Distribute winnings or collect players' money or chips. May compare the house's hand against players' hands,"Blackjack dealer, craps dealer, poker dealer, roulette dealer, pit clerk","39-3011, 39-1013",no
202,Gambling Change Persons and Booth Cashiers,Entertainment and Events,"Exchange coins, tokens, and chips for patrons' money. May issue payoffs and obtain customer's signature on receipt. May operate a booth in the slot machine area and furnish change persons with money bank at the start of the shift, or count and audit money in drawers","Slot attendant, mutuel teller",41-2012,no
203,Gambling Cage Workers,Entertainment and Events,"In a gambling establishment, conduct financial transactions for patrons. Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May reconcile daily summaries of transactions to balance books. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gambling chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction","Casino cashier, cage cashier",43-3041,no
204,Gambling and Sports Book Writers and Runners,Entertainment and Events,"Post information enabling patrons to wager on various races and sporting events. Assist in the operation of games such as keno and bingo. May operate random number-generating equipment and announce the numbers for patrons. Receive, verify, and record patrons' wagers. Scan and process winning tickets presented by patrons and pay out winnings for those wagers","Betting runner, bingo worker, keno runner, race book writer",39-3012,no
205,Dancers,Entertainment and Events,Perform dances,"Club dancer, dance artist",27-2031,no
206,Musicians and Singers,Entertainment and Events,Play one or more musical instruments or sing,"Instrumentalist, accompanist, lounge singer",27-2042,no
207,"Disc Jockeys, Except Radio",Entertainment and Events,"Play prerecorded music for live audiences at venues or events such as clubs, parties, or wedding receptions. May use techniques such as mixing, cutting, or sampling to manipulate recordings. May also perform as emcee (master of ceremonies)","Deejay, club DJ",27-2091,no
208,Entertainers and Performers,Entertainment and Events,Entertain audiences with artistic expression,"Comedian, clown, magician, street performer",27-2099,no
209,Digital Content Creators,Entertainment and Events,"Produce and publish on digital platforms original entertainment and personality-driven content, such as live streams, short-form videos, or podcasts","Streamer, online video creator, social media influencer, podcaster",27-2099,no
210,"Ushers, Lobby Attendants, and Ticket Takers",Entertainment and Events,"Assist patrons at entertainment events by performing duties, such as collecting admission tickets and passes from patrons, assisting in finding seats, searching for lost articles, and helping patrons locate such facilities as restrooms and telephones","Ticket collector, theater usher",39-3031,no
211,"Locker Room, Coatroom, and Dressing Room Attendants",Entertainment and Events,"Provide personal items to patrons or customers in locker rooms, dressing rooms, or coatrooms","Coat checker, washroom attendant, bathhouse attendant",39-3093,no
301,Baggage Porters and Bellhops,Hospitality and Guest Services,Handle baggage for travelers at transportation terminals or for guests at hotels or similar establishments,"Hotel baggage handler, curbside airport check-in assistant, doorman",39-6011,no
302,Concierges,Hospitality and Guest Services,"Assist patrons at hotels or apartment buildings with personal services. May take messages; arrange or give advice on transportation, business services, or entertainment; or monitor guest requests for housekeeping and maintenance","Hotel guest service agent, activities concierge",39-6012,no
303,"Hotel, Motel, and Resort Desk Clerks",Hospitality and Guest Services,"Accommodate hotel, motel, and resort patrons by registering and assigning rooms to guests, issuing room keys or cards, transmitting and receiving messages, keeping records of occupied rooms and guests' accounts, making and confirming reservations, and presenting statements to and collecting payments from departing guests","Front desk clerk, registration clerk",43-4081,no
304,Maids and Housekeeping Cleaners,Hospitality and Guest Services,"Perform any combination of light cleaning duties to maintain commercial establishments, such as hotels, in a clean and orderly manner. Duties may include making beds, replenishing linens, cleaning rooms and halls, and vacuuming","Hotel maid, housekeeping staff",37-2012,no
401,Home Maintenance and Repair Workers,Home Services,"Perform work to keep machines, mechanical equipment, or the structure of a building in repair. May maintain and repair musical instruments, furniture, antiques, and non-fixtures","Handyman, roofer, window repairer, house painter (interior or exterior), flooring installer, piano tuner, furniture restorer, antique repairer","49-9071, 49-9098, 49-9099, 49-9063, 49-2097, 51-7021",no
402,Home Landscaping and Groundskeeping Workers,Home Services,"Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units","Lawn mower, gardener, tree trimmer, weed sprayer",37-3011,no
403,Home Electricians,Home Services,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service exterior lights, intercom systems, or electrical control systems",Electrician,47-2111,no
404,Home Plumbers,Home Services,"Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems","Plumber, pipefitter, steamfitter, sprinkler installer",47-2152,no
